"","ppt","new_false","new_true","repeated_false","repeated_true"
"1","7473",0.9,0.6,0.7,0.5
"2","7474",0.2,0.3,0.4,0.5
"3","7475",0.4,0.5,0.1,0.2
"4","7476",0.4,0.5,0.4,0.5
"5","7477",0.5,0.3,0.6,0.5
"6","7478",0.5,0.8,0.5,0.3
"7","7479",0.4,0.6,0.6,0.6
"8","7481",0.4,0.4,0.3,0.4
"9","7482",0.9,0.6,0.3,0.6
"10","7483",0.8,0.4,0.6,0.6
"11","7484",0.4,0.3,0.2,0.3
"12","7485",0.3,0.6,0.6,0.7
"13","7486",0.2,0.6,0.5,0.7
"14","7487",0.3,0.6,0.4,0.5
"15","7488",0.4,0.5,0.6,0.4
"16","7489",0.5,0.5,0.7,0.7
"17","7490",0.4,0.2,0.3,0.5
"18","7491",0.3,0.2,0.4,0.5
"19","7492",0.3,0.4,0.2,0.4
"20","7493",0.8,0.6,0.8,0.6
"21","7494",0.2,0.4,0.4,0.2
"22","7497",0.4,0.4,0.4,0.3
"23","7498",0.4,0.6,0.4,0.5
"24","7499",0.7,0.4,0.6,0.7
"25","7500",0.1,0.4,0.7,0.4
"26","7501",0.6,0.6,0.4,0.2
"27","7502",0.3,0.6,0.6,0.7
"28","7503",0.2,0.4,0.2,0.1
"29","7504",0.6,0.4,0.2,0.3
"30","7505",0.1,0.5,0.5,0.3
"31","7506",0.3,0.6,0.2,0.3
"32","7507",0.2,0.2,0.3,0.5
"33","7508",0.4,0.3,0.1,0.2
"34","7509",0.5,0.6,0.2,0.9
"35","7510",0.4,0.6,0.5,0.8
"36","7511",0.4,0.3,0.6,0.5
"37","7512",0.7,0.4,0.1,0.3
"38","7513",0.3,0.7,0.6,0.8
"39","7514",0.3,0.5,0.5,0.3
"40","7515",0.6,0.5,0.3,0.6
"41","7517",0.6,0.6,0.8,0.7
"42","7518",0.5,0.2,0.7,0.4
"43","7519",0.4,0.5,0.4,0.5
"44","7520",0.3,0.2,0.2,0.2
"45","7521",0.3,0.3,0.7,0.3
"46","7522",0.3,0.3,0.6,0.6
"47","7523",0.8,0.8,0.3,0.1
"48","7524",0.6,0.6,0.6,0.5
"49","7525",0.4,0.4,0.4,0.4
"50","7526",0.1,0.4,0.4,0.4
"51","7527",0.4,0.6,0.6,0.3
"52","7528",0.8,0.5,0.3,0.3
"53","7529",0.4,0.6,0.5,0.6
"54","7530",0.1,0.3,0.6,0.9
"55","7531",0.7,0.4,0.2,0.3
"56","7532",0.7,0.6,0.5,0.5
"57","7533",0.4,0.4,0.6,0.6
"58","7534",0.4,0.3,0.4,0.5
"59","7536",0.4,0.3,0.6,0.5
"60","7537",0.3,0.2,0.1,0
"61","7538",0.4,0.2,0.1,0.3
"62","7539",0.6,0.6,0.4,0.6
"63","7540",0.5,0.4,0.5,0.4
"64","7541",0.4,0.5,0.4,0.5
"65","7542",0.3,0.6,0.5,0.4
"66","7543",0.3,0.2,0,0.3
"67","7544",0.3,0.6,0.4,0.4
"68","7545",0.2,0.6,0.5,0.3
"69","7546",0.4,0.3,0.3,0.4
"70","7547",0.5,0.4,0.3,0.5
"71","7548",0.3,0.3,0.1,0.2
"72","7549",0.5,0.5,0.2,0.3
"73","7551",0.2,0.2,0.3,0.5
"74","7552",0.7,0.3,0.3,0.3
"75","7553",0.6,0.6,0.5,0.3
"76","7554",0.6,0.2,0.3,0.6
"77","7555",0.2,0.3,0.2,0.3
"78","7556",0.7,0.4,0.7,0.6
"79","7557",0.4,0.5,0.3,0.2
"80","7558",0.4,0.4,0.1,0.1
"81","7559",0.6,0.7,0.7,0.5
"82","7560",0.4,0.6,0.3,0.4
"83","7561",0.1,0.2,0.6,0
"84","7562",0.4,0.7,0.4,0.4
"85","7563",1,1,0,0
"86","7564",0.5,0.5,0.4,0.6
"87","7565",0.7,0.7,0.7,0.7
"88","7566",0.7,0.5,0.2,0.7
"89","7567",0.4,0.3,0.3,0.6
"90","7568",0.4,0.4,0.4,0.5
"91","7569",0,0.3,0.3,0.4
"92","7570",0.7,0.7,0.2,0.2
"93","7572",0.5,0.5,0.5,0.5
"94","7574",0.3,0.3,0.4,0.3
"95","7575",0.4,0.3,0.5,0.2
"96","7577",0.3,0.5,0.4,0.5
"97","7578",0.3,0.1,0.7,0.4
"98","7579",0.1,0.4,0.4,0.6
"99","7580",0.6,0.4,0.7,0.4
"100","7581",0.3,0.4,0.5,0.5
"101","7582",0.6,0.6,0.4,0.3
"102","7583",0.4,0.4,0.5,0.4
"103","7584",0.3,0.4,0.3,0.6
"104","7585",0.6,0.8,0.6,0.6
"105","7586",0.5,0.5,0.5,0.6
"106","7587",0.3,0.6,0.2,0.2
"107","7588",0.7,0.4,0.3,0.4
"108","7589",0.2,0.3,0.3,0.1
"109","7590",0.4,0.2,0.3,0.4
"110","7591",0.6,0.3,0.4,0.3
"111","7593",0.6,0.8,0.4,0.6
"112","7594",0.5,0.4,0.4,0.5
"113","7595",0.2,0.4,0.5,0.5
"114","7596",0.3,0.6,0.5,0.5
"115","7597",0.3,0.2,0.3,0.1
"116","7598",0.7,0.2,0.5,0.7
"117","7599",0.5,0.5,0.6,0.3
"118","7601",0.7,0.8,0.5,0.4
"119","7602",0.2,0.5,0.4,0.4
"120","7603",0.4,0.3,0.2,0.5
"121","7604",0.6,0.3,0.4,0.4
"122","7605",0.5,0.5,0.5,0.5
"123","7606",0.2,0.6,0.2,0.1
"124","7607",0.4,0.5,0.4,0.3
"125","7608",0.4,0.5,0.3,0.7
"126","7609",0.4,0.4,0.4,0.5
"127","7610",0.2,0.4,0.4,0.1
"128","7611",0.4,0.3,0.3,0.4
"129","7612",0.5,0.3,0.5,0.5
"130","7613",0.2,0.4,0.3,0.2
"131","7614",0.2,0.3,0.5,0.2
"132","7615",0.8,0.6,0.4,0.3
"133","7616",0.6,0.7,0.5,0.4
"134","7617",0.5,0.6,0.5,0.5
"135","7618",0.3,0.3,0.3,0.6
"136","7619",0.8,0.8,0.8,0.7
"137","7620",0.3,0.6,0.4,0.4
"138","7621",0.5,0.6,0.6,0.3
"139","7622",0.5,0.4,0.4,0.5
"140","7623",0.5,0.7,0.2,0.4
"141","7624",0.3,0.4,0.3,0.5
"142","7625",0.4,0.5,0.6,0.4
"143","7627",0.4,0.5,0.3,0.5
"144","7629",0.3,0.4,0.1,0.4
"145","7630",0.4,0.6,0.6,0.4
"146","7632",0.2,0.5,0.6,0.4
"147","7633",0.4,0.5,0.5,0.3
"148","7634",0.2,0.3,0.1,0.2
"149","7635",0.4,0.6,0.5,0.4
"150","7636",0.3,0.4,0.8,0.2
"151","7637",0.6,0.7,0.2,0.5
"152","7638",0.3,0.4,0.4,0.6
"153","7640",0.3,0.4,0.2,0.2
"154","7641",0.4,0.7,0.5,0.3
"155","7642",0.6,0.8,0.6,0.7
"156","7643",0.2,0,0.3,0.2
"157","7644",0.3,0.4,0.8,0.6
"158","7645",0.2,0.2,0.4,0.6
"159","7646",0.4,0.4,0.1,0.3
"160","7647",0.7,0.3,0.6,0.3
"161","7648",0.3,0.7,0.4,0
"162","7650",0.5,0.2,0,0.2
"163","7651",0.4,0.6,0.4,0.5
"164","7652",0.3,0.5,0.4,0.2
"165","7653",0.6,0.4,0.2,0.3
"166","7654",0.4,0.7,0.2,0.4
"167","7655",0.5,0.6,0.2,0.2
"168","7656",0.2,0.3,0.6,0.3
"169","7657",0.8,0.4,0.2,0.5
"170","7658",0.3,0.1,0.6,0.2
"171","7660",0.4,0.2,0.2,0.2
"172","7662",0.3,0.5,0.3,0.2
"173","7663",0.7,0.5,0.5,0.3
"174","7664",0.4,0.3,0.3,0.3
"175","7665",0.3,0.4,0,0.7
"176","7666",0.6,0.3,0.7,0.3
"177","7667",0.6,0.5,0.7,0.4
"178","7669",0.6,0.8,0.5,0.4
"179","7670",0.4,0.6,0.2,0.1
"180","7671",0.4,0.4,0.4,0.6
"181","7672",0.6,0.7,0.4,0.5
"182","7673",0.5,0,0.2,0.4
"183","7674",0.8,0.6,0.4,0.7
"184","7675",0.4,0.7,0.8,0.5
"185","7676",0.6,0.8,0.3,0.8
"186","7677",0.9,1,0.9,0.7
"187","7678",0.5,0.6,0.5,0.7
"188","7679",0.4,0.5,0.1,0.5
"189","7680",0.5,0.5,0.6,0.6
"190","7681",0.3,0.4,0.5,0.3
"191","7683",0.4,0.4,0.2,0.3
"192","7684",0.4,0.6,0.4,0.6
"193","7685",0.5,0.5,0.4,0.6
"194","7686",0.1,0.4,0.2,0.1
"195","7687",0.6,0.3,0.3,0.2
"196","7688",0.4,0.4,0.3,0.5
"197","7689",0.5,0.3,0.5,0.5
"198","7690",0.5,0.1,0.4,0.3
"199","7692",0.2,0.6,0.4,0.7
"200","7693",0.3,0.2,0.4,0.2
"201","7695",0.3,0.2,0.2,0.4
"202","7696",0.4,0.4,0.2,0.4
"203","7697",0.4,0.4,0.3,0.2
"204","7698",0.9,0.5,0.5,0.7
"205","7699",0.3,0.5,0.6,0.5
"206","7700",0.6,0.4,0.5,0.3
"207","7703",0.3,0.2,0.7,0.6
"208","7704",0.2,0.1,0.3,0.3
"209","7705",0.2,0.4,0.2,0.1
"210","7706",0.3,0.3,0.7,0.4
"211","7707",0.2,0.2,0.7,0.4
"212","7708",0.3,0.3,0.1,0.1
"213","7709",0.7,0.6,0.4,0.1
"214","7711",0.6,0.5,0.8,0.3
"215","7713",0.4,0.8,0.4,0.3
"216","7714",0.5,0.7,0.8,0.5
"217","7715",0.5,0.2,0.3,0.2
"218","7717",0.5,0.5,0.4,0.6
"219","7718",0.5,0.4,0.4,0.5
