"","ppt","new","repeated"
"1","7473",0.75,0.6
"2","7474",0.25,0.45
"3","7475",0.45,0.15
"4","7476",0.45,0.45
"5","7477",0.4,0.55
"6","7478",0.65,0.4
"7","7479",0.5,0.6
"8","7481",0.4,0.35
"9","7482",0.75,0.45
"10","7483",0.6,0.6
"11","7484",0.35,0.25
"12","7485",0.45,0.65
"13","7486",0.4,0.6
"14","7487",0.45,0.45
"15","7488",0.45,0.5
"16","7489",0.5,0.7
"17","7490",0.3,0.4
"18","7491",0.25,0.45
"19","7492",0.35,0.3
"20","7493",0.7,0.7
"21","7494",0.3,0.3
"22","7497",0.4,0.35
"23","7498",0.5,0.45
"24","7499",0.55,0.65
"25","7500",0.25,0.55
"26","7501",0.6,0.3
"27","7502",0.45,0.65
"28","7503",0.3,0.15
"29","7504",0.5,0.25
"30","7505",0.3,0.4
"31","7506",0.45,0.25
"32","7507",0.2,0.4
"33","7508",0.35,0.15
"34","7509",0.55,0.55
"35","7510",0.5,0.65
"36","7511",0.35,0.55
"37","7512",0.55,0.2
"38","7513",0.5,0.7
"39","7514",0.4,0.4
"40","7515",0.55,0.45
"41","7517",0.6,0.75
"42","7518",0.35,0.55
"43","7519",0.45,0.45
"44","7520",0.25,0.2
"45","7521",0.3,0.5
"46","7522",0.3,0.6
"47","7523",0.8,0.2
"48","7524",0.6,0.55
"49","7525",0.4,0.4
"50","7526",0.25,0.4
"51","7527",0.5,0.45
"52","7528",0.65,0.3
"53","7529",0.5,0.55
"54","7530",0.2,0.75
"55","7531",0.55,0.25
"56","7532",0.65,0.5
"57","7533",0.4,0.6
"58","7534",0.35,0.45
"59","7536",0.35,0.55
"60","7537",0.25,0.05
"61","7538",0.3,0.2
"62","7539",0.6,0.5
"63","7540",0.45,0.45
"64","7541",0.45,0.45
"65","7542",0.45,0.45
"66","7543",0.25,0.15
"67","7544",0.45,0.4
"68","7545",0.4,0.4
"69","7546",0.35,0.35
"70","7547",0.45,0.4
"71","7548",0.3,0.15
"72","7549",0.5,0.25
"73","7551",0.2,0.4
"74","7552",0.5,0.3
"75","7553",0.6,0.4
"76","7554",0.4,0.45
"77","7555",0.25,0.25
"78","7556",0.55,0.65
"79","7557",0.45,0.25
"80","7558",0.4,0.1
"81","7559",0.65,0.6
"82","7560",0.5,0.35
"83","7561",0.15,0.3
"84","7562",0.55,0.4
"85","7563",1,0
"86","7564",0.5,0.5
"87","7565",0.7,0.7
"88","7566",0.6,0.45
"89","7567",0.35,0.45
"90","7568",0.4,0.45
"91","7569",0.15,0.35
"92","7570",0.7,0.2
"93","7572",0.5,0.5
"94","7574",0.3,0.35
"95","7575",0.35,0.35
"96","7577",0.4,0.45
"97","7578",0.2,0.55
"98","7579",0.25,0.5
"99","7580",0.5,0.55
"100","7581",0.35,0.5
"101","7582",0.6,0.35
"102","7583",0.4,0.45
"103","7584",0.35,0.45
"104","7585",0.7,0.6
"105","7586",0.5,0.55
"106","7587",0.45,0.2
"107","7588",0.55,0.35
"108","7589",0.25,0.2
"109","7590",0.3,0.35
"110","7591",0.45,0.35
"111","7593",0.7,0.5
"112","7594",0.45,0.45
"113","7595",0.3,0.5
"114","7596",0.45,0.5
"115","7597",0.25,0.2
"116","7598",0.45,0.6
"117","7599",0.5,0.45
"118","7601",0.75,0.45
"119","7602",0.35,0.4
"120","7603",0.35,0.35
"121","7604",0.45,0.4
"122","7605",0.5,0.5
"123","7606",0.4,0.15
"124","7607",0.45,0.35
"125","7608",0.45,0.5
"126","7609",0.4,0.45
"127","7610",0.3,0.25
"128","7611",0.35,0.35
"129","7612",0.4,0.5
"130","7613",0.3,0.25
"131","7614",0.25,0.35
"132","7615",0.7,0.35
"133","7616",0.65,0.45
"134","7617",0.55,0.5
"135","7618",0.3,0.45
"136","7619",0.8,0.75
"137","7620",0.45,0.4
"138","7621",0.55,0.45
"139","7622",0.45,0.45
"140","7623",0.6,0.3
"141","7624",0.35,0.4
"142","7625",0.45,0.5
"143","7627",0.45,0.4
"144","7629",0.35,0.25
"145","7630",0.5,0.5
"146","7632",0.35,0.5
"147","7633",0.45,0.4
"148","7634",0.25,0.15
"149","7635",0.5,0.45
"150","7636",0.35,0.5
"151","7637",0.65,0.35
"152","7638",0.35,0.5
"153","7640",0.35,0.2
"154","7641",0.55,0.4
"155","7642",0.7,0.65
"156","7643",0.1,0.25
"157","7644",0.35,0.7
"158","7645",0.2,0.5
"159","7646",0.4,0.2
"160","7647",0.5,0.45
"161","7648",0.5,0.2
"162","7650",0.35,0.1
"163","7651",0.5,0.45
"164","7652",0.4,0.3
"165","7653",0.5,0.25
"166","7654",0.55,0.3
"167","7655",0.55,0.2
"168","7656",0.25,0.45
"169","7657",0.6,0.35
"170","7658",0.2,0.4
"171","7660",0.3,0.2
"172","7662",0.4,0.25
"173","7663",0.6,0.4
"174","7664",0.35,0.3
"175","7665",0.35,0.35
"176","7666",0.45,0.5
"177","7667",0.55,0.55
"178","7669",0.7,0.45
"179","7670",0.5,0.15
"180","7671",0.4,0.5
"181","7672",0.65,0.45
"182","7673",0.25,0.3
"183","7674",0.7,0.55
"184","7675",0.55,0.65
"185","7676",0.7,0.55
"186","7677",0.95,0.8
"187","7678",0.55,0.6
"188","7679",0.45,0.3
"189","7680",0.5,0.6
"190","7681",0.35,0.4
"191","7683",0.4,0.25
"192","7684",0.5,0.5
"193","7685",0.5,0.5
"194","7686",0.25,0.15
"195","7687",0.45,0.25
"196","7688",0.4,0.4
"197","7689",0.4,0.5
"198","7690",0.3,0.35
"199","7692",0.4,0.55
"200","7693",0.25,0.3
"201","7695",0.25,0.3
"202","7696",0.4,0.3
"203","7697",0.4,0.25
"204","7698",0.7,0.6
"205","7699",0.4,0.55
"206","7700",0.5,0.4
"207","7703",0.25,0.65
"208","7704",0.15,0.3
"209","7705",0.3,0.15
"210","7706",0.3,0.55
"211","7707",0.2,0.55
"212","7708",0.3,0.1
"213","7709",0.65,0.25
"214","7711",0.55,0.55
"215","7713",0.6,0.35
"216","7714",0.6,0.65
"217","7715",0.35,0.25
"218","7717",0.5,0.5
"219","7718",0.45,0.45
